ru,lez
"Я внушил апостолам: «Уверуйте в Меня и Моего посланника». Они сказали: «Мы уверовали! Засвидетельствуй же, что мы стали мусульманами»",Ва (рикIел гъваш вуна эй Иса) За шагирдриз (Иса пайгъамбардин мукьвал юлдашар) инандирмишна: «Инанмишвал ая куьне Захъ ва Зи Расулдихъ!». Абуру лагьана: «Чна инанмишвалнава! Шагьидвал ая Вуна гьакъикъатда чун мусурманар (муьтIугъбур) хьанвайди!»
"Вот сказали апостолы: «О Иса (Иисус), сын Марьям (Марии)! Может ли твой Господь ниспослать нам трапезу с неба?». Он сказал: «Бойтесь Аллаха, если вы являетесь верующими»","(Ва рикIел гъваш) Шагирдри лагьанай (а чIавуз): «Эй, Иса Марйаман хва! «Жедани» ви Раббидивай чаз цавай «дуьзмишай суфра» авудиз?» Ада лагьана: «КичIе хьухь Аллагьдикай, – эгер куьн муъминар ятIа!»"
"Они сказали: «Мы хотим отведать ее, чтобы наши сердца успокоились, чтобы мы узнали, что ты сказал нам правду, и чтобы мы были свидетелями о ней»","Абуру лагьана: «Чаз гьадакай нез кIанзава ва чи рикIерни секин жедайвал, ва чаз чир жедайвал вун чахъ галаз керчек тирди, ва чунни а кардиз шагьидар жедайвал»"
"Иса (Иисус), сын Марьям (Марии), сказал: «О Аллах, Господь наш! Ниспошли нам трапезу с неба, которая была бы праздником для всех нас, от первого до последнего, и знамением от Тебя. Надели нас уделом, ведь Ты - Наилучший из дарующих удел»","Марйаман хва Исади лагьана: «Я Аллагь, чи Рабби! Авуда чаз цавай дуьзмишай суфра. Ам чаз виридаз сувар жеда, чакай сифтедалай эхиримжидал кьван, ва Ви патай аламат (ишара) жеда. Ризкьи це чаз, Вун ризкьи гудайди яз Виридалайни Хъсанди я»."
"Аллах ответил: «Я ниспошлю ее вам, но если кто-либо после этого не уверует, то Я подвергну его таким мучениям, которым Я не подвергал никого из миров»","Аллагьди лагьана: «За ам квез (авудна) ракъурда, амма ни квекай адалай кьулухъ кафирвал авуртIа, За адаз ахьтин азаб гуда хьи, алемрикай За гьич садазни тагудай хьтин!»"
"Вот сказал Аллах: «О Иса (Иисус), сын Марьям (Марии)! Говорил ли ты людям: «Примите меня и мою мать двумя богами наряду с Аллахом»?». Он сказал: «Пречист Ты! Как я мог сказать то, на что я не имею права? Если бы я сказал такое, Ты знал бы об этом. Ты знаешь то, что у меня в душе, а я не знаю того, что у Тебя в Душе. Воистину, Ты - Ведающий сокровенное","Ва (рикIел гъваш абурун, – а Юкъуз) Аллагьди лугьуда: «Эй, Иса Марйаман хва! Вуна лагьанани инсанриз: «Куьне зун вази диде кьвегъуц (ила́гьи) яз къачу Аллагьдилай гъейри?». Ада лагьана: «Пак я Вун! Виже къведач (ихтияр авач) заз, за жуваз гьакь авачир гафар лугьун. Эгер за акI лагьанвайтIа Ваз ам дугъриданни чизваз жедай. Ваз зи чанда вуч аватIа чизва, амма заз Ви Чанда*вуч аватIа чизвач. Гьакъикъатда Вун -«гъайб»*-ар Хъсандиз Чидайди я!"
"Я не говорил им ничего, кроме того, что Ты мне велел: «Поклоняйтесь Аллаху, моему Господу и вашему Господу». Я был свидетелем о них, пока находился среди них. Когда же Ты упокоил меня, Ты стал наблюдать за ними. Воистину, Ты - Свидетель всякой вещи","Лагьанач за абуруз (затIни) – анжах вич Вуна заз эмир авур кардилай гъейри: «Ибадат ая куьне Аллагьдиз, зи Раббидиз ва куь Раббидиз (яни виридан Раббидиз)». Ва зун абурал шагьид тир абурун арада (зун) амай кьван вахтунда. Ва Вуна зун «секинарайла» (дуьньядай къахчурла), – Вун тир абурал Гуьзчивалзавайди, ва (са) Вун гьар са шейинал Шагьид я!"
"Если Ты подвергнешь их мучениям, то ведь они - Твои рабы. Если же Ты простишь им, то ведь Ты - Могущественный, Мудрый»","Эгер Вуна абуруз азаб гайитIа, бес гьакъикъатда абур Ви лукIар я эхир! Ва эгер Вуна абуруз багъишламишайтIа, бес гьакъикъатда Вун – Гзаф Гужлуди, Камаллуди я эхир!»."
"Аллах сказал: «Это - день, когда правдивым людям принесет пользу их правдивость. Им уготованы Райские сады, в которых текут реки. Они пребудут там вечно». Аллах доволен ими, и они довольны Им. Это - великое преуспеяние","Аллагьди лугьуда (Иса пайгъамбардиз, а Юкъуз): «Им – керчекбуруз абурун керчеквиликай менфят жедай югъ я! Абуруз, – чпин кIаникай вацIар авахьзавай Женнетар гьазурнава. Абур ана гьамишалугъ амукьда, эбеди яз!» Аллагь абурулай рази я, абурни Адалай рази я. Ам – гзаф чIехи агалкьун я!"
"Аллаху принадлежит власть над небесами, землей и тем, что на них, и Он способен на всякую вещь","Аллагьдиз талукь я цаварин, ва чилин ва анра авайбурун винел гьакимвал (ва вири мулкдин иесивал). Ва Ам – гьар са шейинал къудратлу я!"
Скот,Мал-къара
"Хвала Аллаху, Который сотворил небеса и землю и установил мраки и свет. Но даже после этого те, которые не уверовали, приравнивают к своему Господу других","Гьамд (шукур) хьуй Аллагьдиз, – цавар ва чил халкьнавай, ва – зулуматар («мичIивилер») ва нур яратмишай! Ахпа (идалай гуьгъуьнизни) чпи кафирвал авурбуру чпин Раббидихъ галаз (масадбур, шерикар) барабар (сад хьиз) ийизва."
"Он - Тот, Кто сотворил вас из глины, а затем назначил срок для вашей смерти. У Него есть также назначенный срок для воскрешения, но после этого вы все еще препираетесь","Ам я – куьн (куь бан буба яни ата-буба Адам) чепедикай (палчухдикай) халкь авурди я, ахпа (Ада) вахт тайинарна (куьн дуьньяда жедай вахт). Ва ава (маса) тайинарнавай вахтни Адан вилик (Къияматдин Югъ, квел чан хкидай), ахпа (идалай гуьгъуьнизни) куьн генани шаклу я!"
"Он - Аллах на небесах и на земле. Он знает то, что вы утаиваете и совершаете открыто, и знает то, что вы приобретаете","Ва Ам – Аллагь я цаварални чилелни, Адаз куь сирерни чизва, куь ачух крарни, ва чизва куьне къазанмишзавайдини (ийизвай хъсан ва пис амаларни)."
"Какое бы знамение из знамений их Господа ни являлось к ним, они отворачивались от него","Ва гьихьтин аламат (делил, лишан) чпин Раббидин аламатрикай (делилрикай) абурун патав атанатIани, абур абурукай (кьабул тийиз, патахъ) элкъвез хьана."
"Они сочли ложью истину, когда она явилась к ним, но до них дойдут вести о том, над чем они насмехались","Ва абуру гьахъ таб яз кьуна, ам чпин патав атайла. Ва абурув (гележегда) агакьда чпи ягьанатар авурдан (а кардин нетижадин) хабарар!"
"Разве они не видели, сколько поколений Мы погубили до них? Мы одарили их на земле властью, которой не одарили вас, ниспосылали им с неба обильные дожди и заставляли реки течь под ними. Мы погубили их за их грехи и создали после них другие поколения","Бес акуначни абуруз Чна чпелай вилик гьикьван несилар (уьмметар) телефнатIа, – Чна абуруз чилел квез гун тавур мумкинвилер (такьатар) ганай, Чна абурал сад-садан гуьгъуьнлай марфар ракъурна ва абурун кIаникай Чна вацIар авахьдайвал авуна, – ва абурун гунагьар себеб яз Чна абур телефна ва абурулай гуьгъуьниз Чна маса несилар арадал гъана."
"Если бы даже Мы ниспослали тебе Писание на бумаге, и они прикоснулись бы к ней своими руками, неверующие все равно бы сказали: «Это - очевидное колдовство»","Ва эгер Чна ваз Ктаб авуднайтIани «чарче аваз (кхьена)» ва абуру чпин гъилералди адак хкIунайтIани, – кафирвал авурбуру гьар гьикI хьайитIани лугьудай: «Им – анжах, ачух суьгьуьр я!»"
"Они сказали: «Почему к нему не спускается ангел?». Если бы Мы ниспослали ангела, то решение уже было бы вынесено, после чего они не получили бы отсрочки","Ва абуру лагьана: «АвуднайтIа адан кьилив малаик!» Ва нагагь Чна малаик авуднайтIа, (абурун азабдин) кар (къетIна) тамам жедай, ахпа абуруз муьгьлетни хгудачир!"
"Если бы даже Мы ниспослали ангела, Мы все равно сделали бы его мужчиной и привели бы их в замешательство относительно того, в чем они сомневаются","Ва эгер Чна ам (ракъурайди) малаик авунайтIани, Чна адакай итим (суьрет) ийидай ва Чна абур къаришугълу хьайнвай кар, абуруз (мадни) къаришугълу (акахьдайвал) ийидай."
"До тебя посланников также подвергали осмеянию, но тех, кто насмехался над ними, окружало (или постигало) то, над чем они издевались","Ва дугъриданни валай виликни Расулрикай ягьанатар (рахшандар) авунай, амма абурукай ягьанатар авурбурув гьа чпи ягьанатар авур кар (азаб) агакьна."
"Скажи: «Постранствуйте по земле и посмотрите, каким был конец тех, которые сочли ложью истину»","Лагь: «Сиягьат ая (къекъуьгъ куьн) чилел, ахпа куьн килиг, – (гьахъ) тапарар яз кьурбурун эхир гьихьтинди хьанайтIа!»"
"Скажи: «Кому принадлежит то, что на небесах и на земле?». Скажи: «Аллаху! Он предписал Себе милосердие. Он непременно соберет вас вместе в День воскресения, в котором нет сомнения. Те, которые потеряли самих себя, никогда не уверуют»","Лагь: «Нинди я цавара вуч аватIани ва чилел вуч алатIани?» Лагь: «Аллагьдин!». Ада Вичи Вичел регьимлувал (авун) «кхьена ферзнава». Ада куьн дугъриданни кIватI хъийида виче са шакни авачир Къияматдин Йикъаз. Ва чпи чеб зиянвиле турбур, – абуру инанмишвалдач»."
"Ему принадлежит все, что покоится днем и ночью, и Он - Слышащий, Знающий","Ва Адаз талукь я – секин (чуьнуьх) тирбур йифизни юкъузни (яни секинвиле авай вири шейэр, ва чинебан вири крар), ва Ам – Ван Къведайди, Вири Чидайди я."
"Скажи: «Неужели я возьму своим покровителем кого-либо, кроме Аллаха, Творца небес и земли? Он кормит, а Его не кормят». Скажи: «Мне велено быть первым из тех, кто покорился». Не будь же в числе многобожников","Лагь: «За, цавар ва чил Яратмишай Аллагьдилай гъейри масад арха (куьмекчи) яз къачудани кьван, – вични Ада (вири махлукьриз) тIуьн (рузи) гузвайла ва (Адаз) Вичиз «тIуьн» (рузи) гун тийизвайла (садани, Адаз рузи гун герек авачирла)?! Лагь: «Гьакъикъатда заз эмирнава, зун «сифте муьтIуьгъ хьайиди» хьун. Ва гьич жемир вун мушрикрикай»."
"Скажи: «Я боюсь, что если я ослушаюсь моего Господа, то меня постигнут мучения в Великий день»","Лагь: «Гьакъикъатда заз кичIезва эгер за асивал авуртIа зи Раббидиз, – ЧIехи йикъан азабдикай»."
"Тот, кто будет отвращен от них (мучений) в тот день, того Он помиловал. Это будет очевидное преуспеяние","А юкъуз нивай ам (азаб) яргъаз авуртIа, адаз Ада регьимлувал авуна, ва ам ачух агалкьун я."
"Если Аллах коснется тебя бедой, то никто не сможет избавить от нее, кроме Него. Если же Он коснется тебя благом, то ведь Он способен на всякую вещь","Ва эгер вав Аллагьди зарар хкIурайтIа, Адалай гъейри ам алуддайди авач. Ва эгер Ада вав хийир хкIурайтIа, бес Ам гьар са шейинал къудратлу я эхир!"
"Он - Одолевающий и находится над Своими рабами. Он - Мудрый, Ведающий","Ва Ам я – Гьар са кардал гъалибвал къачуз Къудратлуди Вичин лукIарал «винел пад гвайди». Ва Ам – Камаллуди, Хабар Авайди я."
"Скажи: «Чье свидетельство является самым важным?». Скажи: «Аллах - Свидетель между мною и вами. Этот Коран дан мне в откровение, чтобы я предостерег посредством него вас и тех, до кого он дойдет. Неужели вы действительно свидетельствуете, что наряду с Аллахом существуют другие боги?». Скажи: «Я не свидетельствую об этом». Скажи: «Он является Единственным Богом, и я не причастен к тому, что вы приобщаете в сотоварищи»","Лагь: « Вуч я (гьи кар я, зун Аллагьдин Расул тир кардал) шагьидвал яз мадни чIехиди?» Лагь: «Аллагь – Шагьид я зи ва куь арада. Ва и Къуръан заз «вагьй*яз инандирмишнава (ракъурнава)» (вагьй* – Аллагьди пайгъамбарриз Джабраил малаикдилай ва я маса жуьре ачухарзавай, ракъурзавай, инандирмишзавай чирвилер, крар, шейэр я), за квез адалди игьтиятлувал авунин хабар гун патал ва (гьакIни, ам) агакьайбурузни. Бес куьне Аллагьдихъ галаз маса гъуцар ава лугьуз шагьидвалзавани? Лагь: «За шагьидвал ийизвач». Лагь: «Гьакъикъатда Ам – тек сад тир Гъуц (Ила́гьи -Аллагь) я, ва гьакъикъатда зун яргъа (михьи) я куьне (Адаз) шерикар яз гъизвайбурукай»!"
"Те, кому Мы даровали Писание, знают его, как знают своих сыновей. Те, которые потеряли самих себя, никогда не уверуют","Чна чпиз Ктаб багъишнавайбуруз (ракъурнавайбуруз) ам, чпин рухваяр чидайвал, чизва. Чпи чеб зиянвиле турбуру, – абуру инанмишвалдач."
"Кто может быть несправедливее того, кто возвел на Аллаха навет или счел ложью Его знамения? Воистину, не преуспеют беззаконники","Ва вуж я мадни зулумкарди вичи Аллагьдал тапарар къундармишнавайдалай ва я Адан аламатар (делилар) таб яз кьунвайдалай?! Гьакъикъатда, зулумкарриз гьич агалкьунар жедач."
"В тот день Мы соберем их вместе, а затем скажем тем, кто приобщал сотоварищей: «Где сотоварищи, о существовании которых вы предполагали?»","(Ва къуй игьтиятвал авурай абуру) А йикъакай, – Чна абур вири кIватI хъийидай, ахпа ширк авурбуруз Чна лугьуда: «Гьинава, куьне ава лугьуз гиман авур куь шерикар?»"
"Тогда у них не будет никакого оправдания, кроме слов: «Клянемся Аллахом, нашим Господом, мы не были многобожниками!»","Ахпа, (Чи) имтигьандиз абурун жавабдин чIалар жеда анжах лугьун: «Кьин кьазва Аллагьдал – чи Раббидал, чун мушрикар тушир!»"
"Посмотри, как они лгут о самих себе! Но покинет их (или исчезнет) то, что они измышляли","Килиг садра, гьикI абуру чпин гьакъиндай тапарарзаватIа! Ва къакъатна (квахьна) абурувай чпи къундармишайди."
"Среди них есть такие, которые слушают тебя, но Мы накинули на их сердца покрывала, чтобы они не могли понять его (Коран), и поразили их уши глухотой. Какое бы знамение они ни увидели, они все равно не уверуют в него, и поэтому, когда они приходят к тебе, чтобы препираться с тобой, неверующие говорят: «Это - всего лишь легенды древних народов»","Ва ава абурун арада вахъ (Къуръан кIелдайла) яб акалзавайбурни, ва (абур чпин гьевесриз табий хьайивиляй) Чна абурун рикIерал «кIевдай пердеяр» вегьенва абур адан гъавурда гьат тийидайвал, ва абурун япарани -заланвал (бишивал) авунва. Ва эгер абуруз гьар са аламат (делил, яни гзаф аламатар) акуртIани, абур абурухъ инанмиш жедач, гьатта абур ви патав атайла абуру вахъ галаз гьуьжетарзава: кафирвал авурбуру лугьузва: «Ибур – анжах эвелимжибурун кьисаяр я»."
"Они удерживают других от него (прямого пути), и сами сторонятся его, однако они губят только самих себя, не ощущая этого","Абуру къадагъа ийизва адакай, ва чеб адакай яргъаз жезва, ва абуру (адалди) анжах чпи чеб телефзава ва абуру гьич гьиссни ийизвач (чеб телефзавайди)."
"Если бы ты только увидел их, когда их остановят перед Огнем. Они скажут: «О, если бы нас вернули обратно! Мы не считали бы ложью знамения нашего Господа и стали бы верующими!»","Ва эгер ваз (абур) акуртIа ЦIун вилик абур акъвазарнавайла (дугъриданни ваз аквада зурба кар!) – бес абуру лугьуда: «Агь! Элкъуьр хъувунайтIа чун (дуьньядиз), – чна чи Раббидин аламатар (делилар, аятар) таб яз кьадачир, ва чун муъминрикай жедай!»"
"О нет! Им открылось то, что они скрывали прежде. Если бы их вернули обратно, то они непременно вернулись бы к тому, что им было запрещено. Воистину, они - лжецы","Туш! Абуруз чпи виликдай чуьнуьх авур кар ачух хьана. Ва эгер абур элкъуьр хъувунайтIани (дуьньядиз), абур мад гьа чпиз къадагъа авунвай кардал элкъвена хкведай, – гьакъикъатда, абур тапархъанар я!"
"Они говорят: «Есть только наша мирская жизнь, и мы не будем воскрешены»","Ва абуру лагьана: «Ам (уьмуьр) – анжах и дуьньядин чи уьмуьр я, ва чал чан хкидайди туш»."
"Если бы ты только увидел их, когда их остановят перед их Господом. Он скажет: «Разве это не истина?». Они скажут: «Конечно, клянемся нашим Господом!». Он скажет: «Вкусите же мучения за то, что вы не верили!»","Ва эгер ваз акуртIа абур чпин Раббидин вилик акъвазарайла (дугъриданни ваз аквада зурба кар!) – Ада лугьуда: «Бес им гьакъикъат (гьакь) тушни?» Абуру лугьуда: «Эхь (гьахъ я), кьин кьазва чи Раббидал!» Ада лугьуда: «Бес дадмиша гила азаб, куьне кафирвал авуниз килигна!»"
"Те, которые отрицали встречу с Аллахом, уже оказались в убытке. Когда же внезапно для них настанет Час, они, неся свои ноши на спинах, скажут: «Горе нам за то, что мы упустили там!». Как же скверно то, что они понесут","Гьакъикъатда еке зиянвал хьанва Аллагьдихъ галаз гуьруьшмиш хьун таб яз кьурбуруз. Ва абуруз (Къияматдин) Сят* атай чIавуз бейхабардиз, абуру лугьуда: «Агь, гьайифвал я чаз чна ана «гъиляй ахъа авурдал» (къайгъусузвал авурдал)!» – ва абуру чпин «залан парар» (гунагьар чпин далуйраллаз) тухуз жеда! Бес гьикьван писди я абуру тухузвай (гунагьрин) «залан парар»!"
"Мирская жизнь - всего лишь игра и потеха, а последняя обитель лучше для тех, кто богобоязнен. Неужели вы не разумеете","Ва дуьньядин уьмуьр – анжах къугъун ва машгъулат я, ва «Эхиримжи Мескен» (Яшамиш жедай чка) лапни хийирлу я чпи (Аллагьдикай) кичIевалзавайбуруз, бес куьне кьатIузвачни?"
"Мы знаем, что тебя печалит то, что они говорят. Они не считают лжецом тебя - беззаконники отвергают знамения Аллаха","Гьакъикъатда Чаз чизва абуру лугьузвай гафари вун пашман ийизвайди. Гьакъикъатда абуру вун тапарзавайди яз кьазвач, амма зулумкарри – инкарзавайди Аллагьдин аятар (делилар, ишараяр) я!"
"До тебя посланников также считали лжецами, но они терпели то, что их так называли и обижали, пока не являлась к ним Наша помощь. Никто не исказит слов Аллаха, и до тебя уже дошли некоторые вести о посланниках","Ва дугъриданни валай виликни Расулар таб яз кьунай, амма абуру сабур авунай чеб таб яз кьунал ва (чпиз) азият гунал, та Чи куьмек къведалди абуруз. Ва Аллагьдин Келимаяр (Ада Вичин Расулдиз гъалибвал, куьмек гуда лагьай) дегишардайди авач, ва дугъриданни агакьнава вав Расулрин хабаррикайни."
"Если тебя тяготит их отвращение, то если ты сможешь отыскать проход в земле или лестницу на небо, то принеси им знамение. Если бы Аллах пожелал, то собрал бы их всех на прямом пути. Посему не будь одним из невежд","Ва эгер ваз абур патахъ элкъуьн «залан» хьанватIа, – бес (эгер) вавай алакьдатIа жагъуриз чилин кIаник фидай рехъ (гирве чиле) ва я гурар цавуз хкаждай, – гъидайвал вуна абуруз (са) аламат (делил), – (ая вуна а кар!). Ва эгер Аллагьдиз кIан хьанайтIа, – Ада абур дуьз рекьел кIватIдай. (Гьавиляй) жемир вун авамрикай (эдебсузбурукай)!"
"Отвечают только те, кто внимает. А мертвых Аллах воскресит, после чего они будут возвращены к Нему","Гьакъикъатда, жаваб гуда (ви эверуниз диндиз) анжах чпиз «ван къвезвайбуру» (гъавурда акьазвайбуру). Ва «мейитрал» (яни вакай элкъвенвай кафиррал)- Аллагьди чан хкида ахпа абур Адан патав хкида."
Они говорят: «Почему ему не ниспослано знамение от его Господа?». Скажи: «Аллах способен ниспослать знамение». Но большинство их не обладает знанием,"Ва абуру (лавгъавализ) лагьана: «АвуднайтIа адаз вичин Раббидин патай са аламат!» Лагь: «Гьакъикъатда, Аллагь аламат авудна ракъуриз къудратлу я, амма абурун чIехи паюниз чизвач (бес аламатар анжах Адан камаллувилелди авудзавайди)!»"
"Все живые существа на земле и птицы, летающие на двух крыльях, являются подобными вам сообществами. Мы ничего не упустили в Писании. А затем они будут собраны к своему Господу","Ва авач «чилел къекъвезвай са чан алай затIни», ва вичин кьве лувуналди лув гузвай са къушни -(абур) анжах «жемятар» я (са кIапIалдин къене виридахъ сад хьтин суьретар, ухшарар авай) куьн хьиз. Чна Ктабда (Лавгьу-ль-Магь́фу́з-да) са шейни ахъайнавач (къалур тавуна тунвач). Ахпа (абур) чпин Раббидин патав кIватI хъийида."
"Те, которые считают ложью Наши знамения, глухи и немы во мраках. Аллах вводит в заблуждение, кого пожелает, и наставляет на прямой путь, кого пожелает","Ва чпи Чи аламатар (делилар, аятар) таб яз кьурбур – биши я, ва лал я зулуматра (мичIивилера) ава. Вичиз кIан хьайиди Аллагьди ягъалмишвиле твада, ва Вичиз кIан хьайиди Ада «дуьз рекьел эцигда»."
"Скажи: «Скажите мне, станете ли вы призывать кого-либо наряду с Аллахом, если вас поразит наказание Аллаха или наступит Час, если только вы говорите правду?»","Лагь: «Куьне гьикI фикирзава квекай (хабар це заз), эгер квел Аллагьдин азаб атайтIа, ва я квез Сят* (Къиямат Югъ) атайтIа, куьне Аллагьдилай гъейри (масадаз) ялвариз эвердани (дуьа ийидани), – эгер куьн гьахъбур ятIа (куь гъуцарикай квез куьмек жеда лагьай гафара)?!»"
"О нет! Вы будете призывать только Его. Если Он пожелает, то избавит вас от того, по поводу чего вы станете взывать к Нему, и тогда вы забудете о тех, кого приобщали в сотоварищи","Ваъ! Куьне анжах са Гьадаз ялвариз эверда (дуьа -тIалабун ийида), – ва Ада алудда куьне (Адаз) ялвариз эвезавай кар (бала) эгер Адаз кIан хьайитIа, ва куьне (Адаз) шерикар яз гъизвайбур куь рикIелайни алатда."
"Мы уже отправляли посланников к народам до тебя. Мы подвергали их нищете и недугам, дабы они проявили смирение","Дугъриданни Чна валай виликни уьмметрин патав (Расулар) ракъурнай (ва абур таб яз кьунай). Ва Чна абур кьуна (а халкьар) дарвилер (кесибвал) ва азарар (тIалар) гуналди, – белки абур умунлу (муьтIуьгъ) жен!"
"Почему же, когда их поражало Наше наказание, они не проявили смирение? Их сердца ожесточались, а дьявол приукрашивал для них то, что они совершали","Бес, хьанайтIа абур умунлу чпиз Чи «гуж» (жаза) атай чIавуз! Амма абурун рикIер «векъи» (къван хьтин кIеви) хьана, ва хъсан яз къалурна абуруз шейтIанди чпи авур амалар (ширк ва гунагьар)!"
"Когда они позабыли о том, что им напоминали, Мы распахнули перед ними врата ко всякой вещи. Когда же они возрадовались дарованному, Мы схватили их внезапно, и они пришли в отчаяние","Ва абуру рикIелай алудайла чпиз авур несигьатар (рикIел гъунар), Чна абуруз «варар ахъайна» гьар са шейинин (няметрин), та абур (дамах гваз) шад хьайила чпиз гайидал, – Чна абур бейхабардиз (азабдивди) кьуна, ингье абур – михьиз умуд атIана амукьна!"
"Беззаконники были уничтожены до основания. Хвала Аллаху, Господу миров",Ва эхирдалди телеф авуна (чпи) зулум авурбур. Ва гьамд хьуй Аллагьдиз – алемрин Раббидиз.
"Скажи: «Как вы думаете, если Аллах отнимет ваш слух и ваше зрение и запечатает ваши сердца, какое божество, кроме Аллаха, вернет вам все это?». Посмотри, как Мы разъясняем знамения, однако они все еще отворачиваются","Лагь: «Квез гьикI аквазва (хабар це заз), эгер Аллагьди куь ван хьунин гьисс, куь «вилериз акунар» къахчуртIа ва куь рикIерал муьгьуьр эцигайтIа, Аллагьдилай гъейри (маса) гьи гъуцди (ила́гьиди) абур квез хгуда? Килиг, гьикI Чна аламатар (делилар) жуьреба-жуьредбур гъизватIа, ахпа (генани) абур (абурукай) патахъ элкъвезва."
"Скажи: «Как вы думаете, если наказание Аллаха поразит вас неожиданно или открыто, разве будет погублен кто-либо, кроме несправедливых людей?»","Лагь: «Куьне гьикI фикирзава квекай (хабар це заз), эгер квел Аллагьдин азаб атайтIа бейхабардиз ва я ачухдиз, – бес зулумкар ксарилай гъейри вужар телеф ийида кьван (а чIавуз)?"
"Мы отправляем посланников только добрыми вестниками и предостерегающими увещевателями. Те, которые уверовали и совершали праведные деяния, не познают страха и не будут опечалены","Ва Чна Расулар ракъурзавайди я анжах шад хабар гудайбур (инанмишвал авурбуруз) ва игьтиятлувал авунин хабар гудайбур яз (асивал авурбуруз), ва ни (абурухъ) инанмишвал авунатIа ва диндарвал авунатIа, – жедач абуруз кичIевал, ва жедач абуруз пашманвални."
"А тех, которые считают ложью Наши знамения, коснутся мучения за то, что они были нечестивцами","Ва чпи Чи аламатар (аятар, делилар) таб яз кьурбур, – абурув хкIада азаб чпи авур фасикьвилериз килигна."
"Скажи: «Я не говорю вам, что при мне сокровищницы Аллаха, и я не ведаю сокровенного. Я не говорю вам, что являюсь ангелом. Я следую лишь тому, что ниспосылается мне в откровении». Скажи: «Разве равны слепой и зрячий? Неужели вы не поразмыслите?»","Лагь: «За квез зав Аллагьдин хазинаяр гва лугьузвач, ва заз гъайб*(чинебанди, вилерикай чуьнуьх тир крар, гележегдин крар) чизвач, ва за квез зун малаикни я лугьузвач. Зун анжах заз «ракъурзавай вагьй*-диз» табий я». Лагь: «Барабар (сад хьиз) яни буьркьуьди ва экв аквазвайди?! Бес куьне фикирзавачни?!»"
"Предостерегай им тех, которые страшатся того, что они будут собраны перед своим Господом тогда, когда не будет у них, помимо Него, ни покровителя, ни заступника. Быть может, они устрашатся","Ва игьтиятлувал авунин хабар це (вуна) адалди (Къуръандалди) чпиз чпин Раббидин патав кIватI хъувуникай кичIезвайбуруз, чпизни Адалай гъейри маса арха (куьмекчи), ва «тереф хуьз экъечIдайди» (шафаатдайди) авачир, – белки абуруз Аллагьдикай кичIевал ийин (эмирар кьилиз акъудиз)!"
"Не прогоняй тех, которые взывают к своему Господу утром и перед закатом, стремясь к Его Лику. Ты нисколько не в ответе за них, и они нисколько не в ответе за тебя. Если же ты прогонишь их, то окажешься одним из беззаконников","Ва чукурмир (вуна) чпин Раббидиз пакамахъ ва нянихъ дуьа-тIалабунар (яни ибадат) ийизвайбур чеб чалишмиш жез Адан Чин*-ихъ (Адан разивилихъ). Вал алач абурун гьахъ-гьисабдин са шейни (абуру вахъ инанмишвал авунач лугьуз), ва абурал алач ви гьахъ-гьисабдин са шейни, – вуна абур чукуриз (ва адалди) вун зулумкаррикай жез!"
"Так Мы искушали одних из них другими, дабы они сказали: «Неужели среди нас Аллах оказал милость только этим?». Разве Аллах не лучше знает тех, кто благодарен","Ва гьа икI Чна садбур абурукай муькуьбуралди имтигьан (синемиш) авуна, абуру лугьун патал: «Чи арада Аллагьди (имандин) нямет анжах ибуруз ганани?» Бес Аллагьдиз виридалайни хъсан чидачни шукурлубур (вужар ятIа)?!"
"Когда к тебе приходят те, которые уверовали в Наши знамения, говори им: «Мир вам! Ваш Господь предписал себе быть Милосердным, и если кто из вас сотворит зло по своему невежеству, а затем раскается и станет совершать праведные деяния, то ведь Он - Прощающий, Милосердный»","Ва ви патав Чи аятрихъ (аламатрихъ, делилрихъ) инанмишвал авурбур атайла, лагь: «Салам квез! Куь Раббиди «кхьена ферз авунва» Вичиз (Вичел къачунва) регьимлувал авун, – бес ни квекай пис амал авуртIа авамвиляй (эдебсузвиляй), ахпа адалай кьулухъ туба авуна (амал) дуьз хъувуртIа (диндарвал авуртIа), бес гьакъитада Ам – Багъишламишдайди, Регьимлуди я эхир!"
"Таким образом Мы разъясняем знамения, чтобы стал ясен путь грешников","Гьа икI Чна баян гана ачухарзава аятар (делилар), ва ачухдиз чир хьун патал (ваз ва муъминриз) тахсиркаррин (мушрикрин) рехъ."
"Скажи: «Мне запрещено поклоняться тем, к кому вы взываете наряду с Аллахом». Скажи: «Я не стану потакать вашим желаниям. В противном случае я собьюсь с пути и не окажусь в числе следующих прямым путем»","Лагь: «Гьакъикъатда заз къадагъа авунва ибадат авун за куьне Аллагьдилай гъейри дуьа-тIалабунар (ибадат) ийизвайбуруз. Лагь: «Зун куь гьевесриз табий жедач, (эгер табий хьайитIа, а чIавуз) зун дугъриданни (дуьз рекьикай) ягъалмишвиле жеда, ва зун дуьз рекье авайбурукай жедач»."
